Roaster,CoffeeName,Region,Variety,Processing,TastingNotes,Country
Monogram Coffee,"Ardent, Ethiopia, Natural"," YIRGACHEFFE, ETHIOPIA ", LANDRACE CULTIVARS , NATURAL ," PEACH JAM, STRAWBERRY, CHOCOLATE",ETHIOPIA
Monogram Coffee,"Barko Muda Miju, Ethiopia, Natural"," GUJI, ETHIOPIA ", LANDRACE CULTIVARS , NATURAL  ," STRAWBERRY, CHOCOLATE, BLACK TEA",ETHIOPIA
Monogram Coffee,"Daterra Laurina, Brazil, Anaerobic Natural"," CERRADO, BRAZIL ", LAURINA , ANAEROBIC NATURAL ," PINEAPPLE, COCKTAIL CHERRY, CINNAMON",BRAZIL
Monogram Coffee,"Don Carlos, Bolivia, Gesha, Anaerobic Natural"," CARANAVI, BOLIVIA ", GESHA , ANAEROBIC ," ROSE, MANDARIN, CANE SUGAR",BOLIVIA
Monogram Coffee,"El Vergel Koji, Colombia, KOJI INNOCULATED AEROBIC NATURAL"," TOLIMA, COLOMBIA ", GESHA / JAVA , KOJI INNOCULATED AEROBIC NATURAL ," STRAWBERRY, ROASTED GREEN TEA, ORANGE",COLOMBIA
Monogram Coffee,"Estrella Divina, Peru, Washed"," SAN IGNACIO, PERU "," BOURBON, CATURRA, CATIMOR, PACHE ", WASHED ," PLUM, CHOCOLATE, BROWN SUGAR",PERU
Monogram Coffee,"La Linda, Java, Bolivia, Anaerobic"," CARANAVI, BOLIVIA ", JAVA , ANAEROBIC TASTING ," ORANGE, CASHEW, WHITE TEA",BOLIVIA
Monogram Coffee,"La Llama, Java, Bolivia, Coco Natural"," CARANAVI, BOLIVIA ", JAVA , COCO NATURAL ," STRAWBERRY, MELON, ORANGE BLOSSOM",BOLIVIA
Monogram Coffee,"Luis Choquehuanca, Bolivia, Coco Natural"," CARANAVI, BOLIVIA ", CATURRA , COCO NATURAL ," CACAO NIB, RED WINE, ORANGE",BOLIVIA
Monogram Coffee,"Taypiplaya, Bolivia, Anaerobic"," CARANAVI, BOLIVIA ", VARIOUS , ANAEROBIC ," LEMON GRASS, TROPICAL FRUIT, GREEN GRAPE",BOLIVIA
